,class,count,segment
0,Sensory,375,head
1,Inter,432,head
2,Motor,20,head
3,Muscle,13,head
4,Epithelia,16,head
5,Ciliated,34,head
6,Sensory,44,pygidium
7,Inter,18,pygidium
8,Motor,2,pygidium
9,Muscle,6,pygidium
10,Epithelia,29,pygidium
11,Ciliated,0,pygidium
12,Sensory,35,1
13,Inter,163,1
14,Motor,58,1
15,Muscle,144,1
16,Epithelia,14,1
17,Ciliated,8,1
18,Sensory,44,2
19,Inter,203,2
20,Motor,83,2
21,Muscle,150,2
22,Epithelia,21,2
23,Ciliated,14,2
24,Sensory,42,3
25,Inter,152,3
26,Motor,66,3
27,Muscle,142,3
28,Epithelia,25,3
29,Ciliated,12,3
