,count
celltype1,24
celltype2,11
celltype3,4
celltype4,2
celltype5,4
celltype6,4
celltype7,4
celltype8,2
celltype9,1
celltype10,1
celltype11,1
celltype12,1
celltype13,24
celltype14,3
celltype15,2
celltype16,2
celltype17,2
celltype18,2
celltype19,2
celltype20,2
celltype21,9
celltype22,2
celltype23,6
celltype24,2
celltype25,2
celltype26,2
celltype27,2
celltype28,2
celltype29,28
celltype30,2
celltype31,12
celltype32,8
celltype33,2
celltype34,2
celltype35,1
celltype36,2
celltype37,2
celltype38,2
celltype39,2
celltype40,2
celltype41,6
celltype42,2
celltype43,1
celltype44,1
celltype45,2
celltype46,2
celltype47,2
celltype48,2
celltype49,17
celltype50,2
celltype51,1
celltype52,1
celltype53,2
celltype54,1
celltype55,2
celltype56,2
celltype57,6
celltype58,2
celltype59,2
celltype60,2
celltype61,4
celltype62,5
celltype63,6
celltype64,32
celltype65,4
celltype66,6
celltype67,2
celltype68,6
celltype69,3
celltype70,2
celltype71,20
celltype72,2
celltype73,17
celltype74,2
celltype75,2
celltype76,2
celltype77,2
celltype78,2
celltype79,17
celltype80,54
celltype81,4
celltype82,3
celltype83,4
celltype84,2
celltype85,2
celltype86,2
celltype87,2
celltype88,17
celltype89,9
celltype90,1
celltype91,31
celltype92,2
celltype93,2
celltype94,14
celltype95,26
celltype96,6
celltype97,4
celltype98,13
celltype99,1
celltype100,24
celltype101,21
celltype102,1
celltype103,2
celltype104,6
celltype105,6
celltype106,2
celltype107,4
celltype108,3
celltype109,5
celltype110,2
celltype111,2
celltype112,1
celltype113,2
celltype114,9
celltype115,2
celltype116,4
celltype117,5
celltype118,4
celltype119,2
celltype120,2
celltype121,2
celltype122,2
celltype123,9
celltype124,12
celltype125,4
celltype126,4
celltype127,7
celltype128,4
celltype129,2
celltype130,2
celltype131,2
celltype132,1
celltype133,2
celltype134,2
celltype135,1
celltype136,2
celltype137,2
celltype138,2
celltype139,2
celltype140,4
celltype141,2
celltype142,2
celltype143,4
celltype144,2
celltype145,2
celltype146,13
celltype147,3
celltype148,2
celltype149,2
celltype150,2
celltype151,2
celltype152,2
celltype153,2
celltype154,4
celltype155,9
celltype156,3
celltype157,2
celltype158,2
celltype159,7
celltype160,2
celltype161,6
celltype162,8
celltype163,9
celltype164,2
celltype165,9
celltype166,2
celltype167,4
celltype168,2
celltype169,3
celltype170,2
celltype171,4
celltype172,2
celltype173,4
celltype174,2
celltype175,2
celltype176,2
celltype177,2
celltype178,4
celltype179,1
celltype180,2
